l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
467,31529684,22772631,110000,6,line,50,110 kV Urfeld West,RWE,617.0,,,,,Yes
468,27513557,23135618,110000,6,line,50,-167,Westfalen Weser Netz GmbH,6550.0,,,,,Yes
469,147984554,177693624,110000,6,line,50,,Westnetz,20925.0,,,,,Yes
470,147984554,184124357,110000,6,line,,,RWE,11653.0,,,,,
471,147984554,132814303,110000,6,line,,-110kV Maumke West-110kV Maumke Ost+West,RWE,31012.0,,,,,
472,147984554,159326128,110000,6,line,,-110kV Maumke Ost+West,RWE,25633.0,,,,,Yes
473,68549340,68554271,110000,3,line,,,,231.0,,,,,
474,25051880,23172337,220000,18,line,,-Gladbeck West + Hugo Ost-110kV Hugo Ost+West,RWE,5119.0,0.0133333333333,0.0533333333333,69.0,7.8,Yes
475,25051880,22944791,220000,18,line,,-Gladbeck West + Hugo Ost-110kV Hugo Ost+West-Gladbeck West+Hugo Ost,RWE,7653.0,0.0133333333333,0.0533333333333,69.0,7.8,Yes
476,24349425,23084417,110000,12,line,50,-110 kV Goch Süd-Goch Süd,RWE,4793.0,,,,,Yes
477,158253525,36842925,110000,3,line,50,,,133.0,,,,,
478,107421143,24479470,110000,6,line,,110kV Zweckel Ost+West,RWE,2897.0,,,,,
479,29465361,29465782,110000,3,line,50,Lüdinghausen - Selm,RWE,9946.0,,,,,
480,32887571,27919734,380000,18,line,50,110 kV Gohr Ost|West-380 kV Knechtsteden West- St. Peter Süd- 220 kV Frixheim Nord|Süd- 110 kV Gohr Ost|West,RWE,8362.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
481,201956117,23084554,380000,6,line,50,380 kV Brauweiler West-110 kV Grefrath Ost|West-110 kV Roddergrube Ost|West,RWE,18567.0,0.0125,0.125,27.4,5.2,Yes
482,201956117,28442013,110000,6,line,50,110 kV Grefrath Ost|West- Roddergrube Ost|West-110 kV Grefrath West- Roddergrube West-110 kV Grefrath Ost|West,RWE,3478.0,,,,,Yes
483,22772508,22772631,110000,12,line,50,110 kV Lülsdorf Nord|Süd- Ranzel Nord|Süd,RWE,2885.0,,,,,Yes
484,51940126,54531623,110000,6,line,50,,,4872.0,,,,,
485,42734372,288305056,110000,6,line,50,121-122,,6444.0,,,,,Yes
486,42734372,30135690,110000,6,line,50,,,8228.0,,,,,Yes
487,87618348,87623325,110000,6,line,50,110 kV Münstereifel Nord-110 kV Münstereifel Nord+Süd,RWE,9577.0,,,,,Yes
488,87752731,23692543,110000,4,line,0,Bahnstromleitung Wickrath - Stolberg,DB_Energie,46341.0,,,,,
489,111973179,150203761,110000,6,line,50,110kV Geist-Münster Nord-110kV Geist-Münster Nord+Süd,RWE,3841.0,,,,,Yes
490,111973179,127983374,110000,6,line,50,-110kV Münster-Roxel Ost+West,RWE,3323.0,,,,,Yes
491,111973179,25506770,110000,6,line,50,110kV Münster-Roxel Ost+West,RWE,5514.0,,,,,
492,24230738,209033848,110000,6,line,50,,Westfalen Weser Netz GmbH,4977.0,,,,,Yes
493,89766739,25091074,110000,4,line,0,Duisburg - Sw Kirchhellen (Abzw Essen)-Duisburg - Sw Kirchhellen,DB_Energie,31074.0,,,,,Yes
494,89766739,28069153,110000,4,line,0,Duisburg - Sw Kirchhellen (Abzw Essen)-Duisburg - Sw Kirchhellen,DB_Energie,27950.0,,,,,Yes
